MeterNumber	Street	BlockLimits	StandardizedAddress	SegmentID	StreetCode	Side	Dist	Manufacturer	Model	Rate	DayFrom	DayTo	HourFrom	HourTo	HourLimit	MinLimit	DateInstlaled	Timer	ST
1229115	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	1	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"R																			"
1229116	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	1	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"R																			"
1229117	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	1	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"R																			"
1229118	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	1	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"R																			"
1229119	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	1	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"R																			"
1229120	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	1	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"R																			"
1229121	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	0.5	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"R																			"
1229124	N 4	200	200 N 04TH ST	441391	87870	W	12	D-E	80	0.5	MON	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229125	N 4	200	200 N 04TH ST	441391	87870	W	12	D-E	80	0.5	MON	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229126	N 4	200	200 N 04TH ST	441391	87870	W	12	D-E	80	2	MON	SAT	0800A	0630P	2		1/1/1982	2HR	"I																			"
1229129	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E-HP	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"I																			"
1229129	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E-HP	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"I																			"
1229130	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229130	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229131	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229131	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229132	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229132	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229133	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229133	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229134	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229134	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229135	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229135	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229136	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229136	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229137	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229137	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229138	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
1229138	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	SAT	SAT	0800A	0630P	2		1/1/1982	2HR	"R																			"
1229139	N 3	200	200 N 03RD ST	423034	87850	W	12	D-E	80	2	MON	FRI	0930A	0400P	2		1/1/1982	2HR	"R																			"
